Membership No  Date Joined  Active  
    14690      2018-10-1    yes   
    83981      2018-1-6     yes   
    45647      2020-9-17    yes   
    38686      2019-5-10    no    
    49380      2016-2-10    yes   
    83247      2018-7-25    yes   
    81393      2017-12-13   no    
    85261      2015-3-1     no    
    29294      2017-7-16    yes   
    29877      2018-11-3    yes   
    41744      2016-8-7     no    
    51418      2018-1-23    yes   
    50449      2020-8-25    no    
    64392      2019-5-15    yes   
    14566      2016-4-11    yes   
    73651      2015-7-21    yes   
    46598      2017-3-13    no    
    74475      2020-4-9     no    
    68987      2020-8-1     yes   
    81350      2015-10-12   yes   
