Membership No  Date Joined  Active  
    49861      2016-10-7    no    
    77400      2018-4-11    no    
    27685      2016-6-1     no    
    55445      2015-3-1     no    
    50999      2019-2-2     yes   
    11814      2020-5-12    no    
    40941      2018-7-15    yes   
    19144      2018-9-7     yes   
    54476      2018-6-16    yes   
    81175      2015-2-18    no    
    19097      2018-7-5     no    
    95717      2018-11-4    no    
    67822      2020-8-5     yes   
    56107      2017-4-24    no    
    21253      2019-1-6     no    
    30913      2020-4-7     yes   
    41157      2016-3-11    yes   
    39067      2017-3-19    no    
    92477      2017-11-8    yes   
    95252      2020-11-18   no    
